magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
6.5,7,4,0,657,114,7.177,25,192.955,-13.8814,167.158
6.5,8,6,0,775,92,0.679,40,69.727,12.814,-88.1265
6.6,7,5,0,899,70,1.634,28,171.371,-38.1911,-70.3731
7.2,6,6,1,860,173,0.907,36,32.571,54.3844,-160.699
7.3,0,5,1,820,79,0.879451,172.8,21,54.49,-160.796
6.6,5,4,1,802,95,2.454,37,10,20.0196,-61.0955
6.9,4,4,1,741,136,1.179,23,229,-17.853,-174.937
7.2,8,6,1,804,85,2.59,24,167.404,-22.9824,-177.208
6.6,6,6,1,733,50,2.163,129,10,8.8894,-77.1231
7.1,3,4,1,777,98,2.812,56,35.981,-23.0622,170.456
7.7,5,4,1,927,277,3.111,15,18.027,-23.2286,170.694
7.6,8,6,1,907,111,3.631,17,210.097,-15.6002,-174.608
6.6,0,2,0,670,52,5.123,50,598.467,-25.2657,178.424
7.1,9,7,0,838,70,2.282,58,15.462,-0.781,98.5339
7.1,8,7,1,777,126,0.708,23,43.063,-30.0249,-177.897
6.7,0,3,1,691,166,4.719,10,595.854,-22.2844,179.391
7,5,3,0,818,131,1.881,31,594.028,-6.0255,112.033
6.5,7,6,1,655,104,0.266,30,105.631,52.7772,158.484
7,7,7,1,781,105,6.45,31,62.603,-4.2924,143.155
6.5,4,4,0,656,97,1.622,33,209.976,-23.4797,-66.5108
6.5,7,5,0,1350,134,2.53,13,187.589,36.5227,70.9787
6.8,9,7,1,1159,152,0.709,28,65.842,-2.851,-79.8001
7,8,5,1,756,116,1.789,22,22.065,-30.1147,-176.112
6.9,5,5,1,735,108,0.784,18,205.681,-29.4748,-178.787
6.5,7,6,1,653,66,5.483,45,10,-15.3597,166.385
6.5,4,2,1,652,115,2.739,20,598.925,-4.8138,149.487
6.8,9,7,0,737,128,1.783,20,20.522,38.0726,73.2077
7.5,9,9,0,1411,135,0.85,17,10,38.0235,37.203
6.7,9,8,0,800,108,0.218,44,14.497,37.4135,36.8306
7.8,9,9,0,2910,118,1.919,32,17.925,37.2012,36.9997
6.8,4,3,0,718,60,5.129,61,610.671,-26.7209,-63.0394
7,3,5,1,756,130,1.974,17,28.566,2.7401,127.051
7.6,5,7,0,957,114,1.575,21,105.249,-7.0852,130.039
7,8,7,1,768,116,6.096,36,29,-14.9383,166.878
6.8,5,5,1,720,152,2.587,26,38,-15.3983,-172.968
7,8,7,1,768,117,0.509,17,14,-9.7963,159.596
6.9,4,4,0,735,99,2.229,34,25,-4.9559,100.738
7,3,3,1,755,147,3.125,18,579,-20.0508,-178.346
7.3,5,5,1,833,149,1.865,21,37,-19.2918,-172.129
6.6,0,2,1,670,131,4.998,27,624.464,-25.5948,178.278
7,4,3,1,755,142,4.578,26,660,-26.0442,178.381
6.8,1,3,1,711,136,4.678,22,630.379,-25.9678,178.363
6.7,7,6,1,797,145,1.151,37,20,7.6712,-82.3396
6.8,8,7,1,1179,175,2.137,92,20,18.33,-102.913
7.6,9,8,1,1799,271,1.153,69,26.943,18.3667,-103.252
6.9,9,9,1,887,215,0.401,34,10,23.1444,121.307
6.5,7,7,1,756,178,0.43,54,10,23.029,121.348
7,7,5,1,761,192,2.977,45,137,-21.2077,170.239
7.6,8,8,1,965,272,3.158,12,116,-6.2237,146.471
6.6,9,8,0,1043,141,8.454,34,12,29.7263,102.279
6.6,7,6,1,672,68,5.293,34,30,-32.6922,-178.959
7,9,8,1,1351,152,5.276,22,33.729,17.5978,120.809
6.5,3,2,0,653,236,1.999,31,622.73,-9.0618,-71.1647
7.2,7,5,1,876,144,2.494,40,236,-14.8628,-70.3081
6.9,2,5,1,733,127,0.371,45,10,-54.1325,159.027
6.8,6,5,1,762,162,1.505,30,220,-23.6141,-66.7236
6.6,6,5,1,762,0,0.914,94,27,11.5538,-86.9919
7,6,4,1,763,0,2.705,26,10,-22.5732,170.349
6.9,6,4,1,738,0,2.697,42,10,-22.72,170.277
6.7,8,7,1,806,0,0.289,32,24,23.3421,121.636
7.3,9,8,1,2397,0,2.936,29,41,37.7015,141.587
6.7,9,6,0,708,0,2.188,43,28,-0.6831,98.6034
6.6,2,7,1,670,0,0.827,46,24,-30.0528,-177.74
6.8,2,3,1,712,0,5.78,12,535,-23.7852,-179.968
6.5,8,6,0,690,0,3.026,22,110,-4.455,-76.9395
6.5,7,4,1,651,0,1.088,57,8,-29.535,-176.729
6.6,8,6,0,785,0,2.418,22,33,-6.9291,105.251
6.5,0,3,1,650,97,1.61607,108,37,52.502,-168.08
6.5,0,3,1,650,23,0,208.8,37,52.502,-168.08
6.6,8,5,1,674,0,0.507,49,19,52.6252,-168.15
6.7,0,4,1,691,50,0.936943,126,33,52.48,-167.736
6.7,0,4,1,691,20,0,205.2,33,52.48,-167.736
6.8,7,6,1,730,0,0.92,61,20,52.6563,-167.917
6.6,6,6,0,976,0,1.168,21,21,35.1456,31.9095
6.6,9,8,0,1012,0,2.685,13,13,37.8167,101.299
7.3,8,7,0,921,0,3.713,19,165.49,-7.5924,127.581
7.3,9,5,1,854,0,1.025,32,14.27,-7.6033,122.2
7.5,8,8,1,1094,0,4.951,40,126,-4.4898,-76.8461
6.6,7,4,1,688,0,3.259,15,12,23.5414,126.48
6.9,8,6,1,995,0,0,0,51.6,56.2581,-156.492
6.9,4,3,1,740,0,4.778,31,535,-21.1704,174.54
7.3,4,4,1,826,0,4.493,32,527,-21.1036,174.895
6.5,7,5,1,684,0,0.993,114,21,12.1598,-87.8542
7,8,8,1,2504,0,0.07,43,20,16.9502,-99.7877
7.1,1,4,1,776,0,9.799,32,6,-60.3026,-24.9992
6.6,1,3,1,670,0,8.865,19,7,-60.1023,-24.4608
6.9,8,7,1,741,0,0.579,54,93,-14.892,167.085
6.9,6,4,1,734,0,8.363,48,16.7,-58.3814,-23.3318
7.2,9,8,1,2331,0,1.178,23,10,18.3521,-73.4804
6.9,5,4,1,738,0,0,0,33.3,55.2364,-157.707
6.9,5,4,1,738,0,1.173,36,20.74,55.2657,-157.68
8.1,0,7,0,1009,0,7.463,78,22.79,-58.4157,-25.3206
7.5,9,6,1,868,0,7.227,38,47.23,-57.5959,-25.1874
7.1,9,7,1,846,0,1.273,25,55.14,6.4547,126.742
8.2,8,6,1,1237,0,0.875,66,46.66,55.4742,-157.917
